From,To,Label
start,loadHead,
loadHead,loadDoc,
loadDoc,viewDoc,
viewDoc,hasDrawing,
hasDrawing,loadDrawing,Yes
hasDrawing,isHead,No
loadDrawing,isHead,
isHead,onHeadSteps,Yes
onHeadSteps,end,
isHead,isOtherBranch,No
isOtherBranch,otherBranchSteps,Yes
otherBranchSteps,fromPeer,
isOtherBranch,sameBranchSteps,No
sameBranchSteps,fromPeer,
fromPeer,skipIfPeer,Yes
fromPeer,recallMode,No
skipIfPeer,recallMode,
recallMode,openLoadVersion,
openLoadVersion,callOpenRecall,Yes
callOpenRecall,end,
openLoadVersion,requestLoadVersion,No
requestLoadVersion,warnNotImplemented,Yes
warnNotImplemented,end,
